gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward,TICKER,cusip
001690,14593,2018-09-30,2019-06-30,2019-10-31,21.854,0.108,13.201,5.187,5.226,5.284,5.284,4.267,16.018,0.254,0.215,0.296,0.249,0.426,0.255,0.262,0.214,0.499,0.286,0.183,0.500,0.289,0.500,0.985,0.385,0.314,0.541,0.459,0.571,0.459,0.040,0.032,0.336,0.032,0.262,0.321,1.471,0.196,0.419,0.371,0.749,0.675,0.299,0.844,6.207,0.846,0.696,0.588,2.285,16.326,17.728,0.802,1.256,1.298,,34.627,0.738,7.469,3.660,1.313,2.425,8.503,0.061,0.000,0.000,-0.038,11.459,0.458,1.24%,-2.736,0.539,AAPL,03783310
001690,14593,2019-09-30,2019-09-30,2019-11-30,22.643,0.097,14.664,22.327,22.477,22.477,22.477,4.564,17.113,0.256,0.212,0.289,0.246,0.422,0.253,0.261,0.214,0.541,0.304,0.159,0.559,0.292,0.559,0.851,0.343,0.324,0.496,0.504,0.593,0.504,0.039,0.032,0.406,0.025,0.281,0.319,1.436,0.150,0.426,0.370,0.712,0.656,0.280,0.849,6.636,0.950,0.733,0.630,2.741,16.452,17.878,0.951,1.501,1.540,,37.331,0.739,5.489,2.950,1.427,2.875,4.556,0.062,0.000,0.000,-0.040,12.281,1.687,1.15%,2.408,2.280,AAPL,03783310
001690,14593,2019-09-30,2019-09-30,2019-12-31,24.553,0.097,14.664,24.532,24.697,24.697,24.697,4.949,18.556,0.256,0.212,0.289,0.246,0.422,0.253,0.261,0.214,0.541,0.304,0.159,0.559,0.292,0.559,0.851,0.343,0.324,0.496,0.504,0.593,0.504,0.039,0.032,0.406,0.025,0.281,0.319,1.436,0.150,0.426,0.370,0.712,0.656,0.280,0.849,6.636,0.950,0.733,0.630,2.741,16.452,17.878,0.951,1.501,1.540,,37.331,0.739,5.489,2.950,1.427,2.875,4.556,0.062,0.000,0.000,-0.040,13.318,1.853,1.05%,2.468,2.505,AAPL,03783310
001690,14593,2019-09-30,2019-09-30,2020-01-31,25.823,0.097,14.664,25.857,26.031,26.031,26.031,5.205,19.516,0.256,0.212,0.289,0.246,0.422,0.253,0.261,0.214,0.541,0.304,0.159,0.559,0.292,0.559,0.851,0.343,0.324,0.496,0.504,0.593,0.504,0.039,0.032,0.406,0.025,0.281,0.319,1.436,0.150,0.426,0.370,0.712,0.656,0.280,0.849,6.636,0.950,0.733,0.630,2.741,16.452,17.878,0.951,1.501,1.540,,37.331,0.739,5.489,2.950,1.427,2.875,4.556,0.062,0.000,0.000,-0.040,14.006,1.953,.995%,2.437,2.470,AAPL,03783310
001690,14593,2019-09-30,2019-12-31,2020-02-29,22.994,0.070,14.403,5.356,5.398,5.398,5.398,4.468,16.336,0.245,0.215,0.292,0.247,0.424,0.253,0.260,0.227,0.552,0.310,0.159,0.560,0.314,0.560,0.833,0.370,0.338,0.510,0.490,0.595,0.490,0.038,0.031,0.398,0.028,0.237,0.332,1.427,0.176,0.407,0.382,0.798,0.748,0.280,0.874,6.080,0.945,0.715,0.609,2.514,17.574,19.059,0.978,1.451,1.493,,37.498,0.797,7.731,4.062,1.428,2.801,5.547,0.063,0.000,0.000,-0.046,13.359,0.355,1.13%,0.351,0.446,AAPL,03783310
001690,14593,2019-09-30,2019-12-31,2020-03-31,21.138,0.070,14.403,4.982,5.022,5.022,5.022,4.108,15.018,0.245,0.215,0.292,0.247,0.424,0.253,0.260,0.227,0.552,0.310,0.159,0.560,0.314,0.560,0.833,0.370,0.338,0.510,0.490,0.595,0.490,0.038,0.031,0.398,0.028,0.237,0.332,1.427,0.176,0.407,0.382,0.798,0.748,0.280,0.874,6.080,0.945,0.715,0.609,2.514,17.574,19.059,0.978,1.451,1.493,,37.498,0.797,7.731,4.062,1.428,2.801,5.547,0.063,0.000,0.000,-0.046,12.281,0.330,1.21%,0.470,0.422,AAPL,03783310
001690,14593,2019-09-30,2019-12-31,2020-04-30,24.481,0.070,14.403,5.756,5.802,5.802,5.802,4.757,17.393,0.245,0.215,0.292,0.247,0.424,0.253,0.260,0.227,0.552,0.310,0.159,0.560,0.314,0.560,0.833,0.370,0.338,0.510,0.490,0.595,0.490,0.038,0.031,0.398,0.028,0.237,0.332,1.427,0.176,0.407,0.382,0.798,0.748,0.280,0.874,6.080,0.945,0.715,0.609,2.514,17.574,19.059,0.978,1.451,1.493,,37.498,0.797,7.731,4.062,1.428,2.801,5.547,0.063,0.000,0.000,-0.046,14.223,0.382,1.05%,1.254,0.459,AAPL,03783310
001690,14593,2019-09-30,2020-03-31,2020-05-31,26.255,0.071,15.300,6.171,6.224,6.224,6.224,5.142,18.283,0.245,0.214,0.288,0.245,0.425,0.250,0.257,0.230,0.589,0.317,0.159,0.599,0.320,0.599,0.747,0.353,0.345,0.487,0.513,0.620,0.513,0.034,0.028,0.411,0.025,0.236,0.342,1.462,0.172,0.407,0.387,0.785,0.766,0.280,0.884,5.921,1.036,0.731,0.630,2.724,18.780,20.383,1.011,1.498,1.536,,41.402,0.811,7.501,3.992,1.470,3.020,5.078,0.065,0.000,0.000,-0.055,17.572,0.431,1.03%,1.575,0.543,AAPL,03783310
001690,14593,2019-09-30,2020-03-31,2020-06-30,29.774,0.071,15.300,7.081,7.142,7.142,7.142,5.832,20.734,0.245,0.214,0.288,0.245,0.425,0.250,0.257,0.230,0.589,0.317,0.159,0.599,0.320,0.599,0.747,0.353,0.345,0.487,0.513,0.620,0.513,0.034,0.028,0.411,0.025,0.236,0.342,1.462,0.172,0.407,0.387,0.785,0.766,0.280,0.884,5.921,1.036,0.731,0.630,2.724,18.780,20.383,1.011,1.498,1.536,,41.402,0.811,7.501,3.992,1.470,3.020,5.078,0.065,0.000,0.000,-0.055,19.927,0.494,.899%,1.665,0.623,AAPL,03783310
001690,14593,2019-09-30,2020-03-31,2020-07-31,34.623,0.071,15.300,8.250,8.321,8.321,8.321,6.782,24.111,0.245,0.214,0.288,0.245,0.425,0.250,0.257,0.230,0.589,0.317,0.159,0.599,0.320,0.599,0.747,0.353,0.345,0.487,0.513,0.620,0.513,0.034,0.028,0.411,0.025,0.236,0.342,1.462,0.172,0.407,0.387,0.785,0.766,0.280,0.884,5.921,1.036,0.731,0.630,2.724,18.780,20.383,1.011,1.498,1.536,,41.402,0.811,7.501,3.992,1.470,3.020,5.078,0.065,0.000,0.000,-0.055,23.173,0.576,.772%,1.940,0.704,AAPL,03783310
001690,14593,2019-09-30,2020-06-30,2020-08-31,41.740,0.046,17.195,9.702,9.783,9.783,9.783,8.059,27.584,0.240,0.213,0.287,0.245,0.424,0.249,0.255,0.238,0.647,0.333,0.159,0.658,0.334,0.658,0.717,0.350,0.353,0.458,0.542,0.645,0.542,0.031,0.026,0.402,0.025,0.243,0.354,1.480,0.160,0.405,0.397,0.788,0.802,0.280,0.896,5.818,1.162,0.749,0.654,2.982,20.162,22.020,0.992,1.489,1.527,,40.669,0.832,7.377,3.982,1.517,3.312,5.202,0.065,0.000,0.000,-0.066,30.532,0.667,.635%,1.048,0.785,AAPL,03783310
001690,14593,2019-09-30,2020-06-30,2020-09-30,37.185,0.046,17.195,8.708,8.780,8.780,8.780,7.179,24.574,0.240,0.213,0.287,0.245,0.424,0.249,0.255,0.238,0.647,0.333,0.159,0.658,0.334,0.658,0.717,0.350,0.353,0.458,0.542,0.645,0.542,0.031,0.026,0.402,0.025,0.243,0.354,1.480,0.160,0.405,0.397,0.788,0.802,0.280,0.896,5.818,1.162,0.749,0.654,2.982,20.162,22.020,0.992,1.489,1.527,,40.669,0.832,7.377,3.982,1.517,3.312,5.202,0.065,0.000,0.000,-0.066,27.200,0.598,.708%,0.976,0.705,AAPL,03783310
001690,14593,2019-09-30,2020-06-30,2020-10-31,35.005,0.046,17.195,8.185,8.253,8.253,8.253,6.758,23.133,0.240,0.213,0.287,0.245,0.424,0.249,0.255,0.238,0.647,0.333,0.159,0.658,0.334,0.658,0.717,0.350,0.353,0.458,0.542,0.645,0.542,0.031,0.026,0.402,0.025,0.243,0.354,1.480,0.160,0.405,0.397,0.788,0.802,0.280,0.896,5.818,1.162,0.749,0.654,2.982,20.162,22.020,0.992,1.489,1.527,,40.669,0.832,7.377,3.982,1.517,3.312,5.202,0.065,0.000,0.000,-0.066,25.605,0.562,.753%,0.917,0.655,AAPL,03783310
