merge_date,avg_sentiment_neg,avg_sentiment_neu,avg_sentiment_pos,avg_sentiment_polarity,daily_news_count
2020-12-30,0.22622621,0.7475201,0.026253622,-0.19997258,4
2021-01-03,0.83063656,0.1591179,0.010245475,-0.82039106,1
2021-01-04,0.30956072,0.66294783,0.027491359,-0.28206936,2
2021-01-05,0.27381766,0.64523965,0.080942675,-0.19287498,6
2021-01-06,0.5503199,0.4380754,0.011604661,-0.5387153,2
2021-01-07,0.03665198,0.60593003,0.35741797,0.320766,3
2021-01-08,0.41887254,0.46735823,0.11376923,-0.3051033,8
2021-01-09,0.55612886,0.1183583,0.32551283,-0.2306161,5
2021-01-12,0.49657616,0.111643516,0.39178032,-0.104795836,5
2021-01-13,0.51600915,0.29926023,0.18473062,-0.33127856,5
2021-01-14,0.68932194,0.27996346,0.030714577,-0.65860736,3
2021-01-15,0.32079515,0.3074635,0.37174135,0.050946224,15
2021-01-16,0.8396709,0.14333896,0.01699006,-0.82268083,1
2021-01-18,0.86792266,0.113240644,0.018836627,-0.84908605,2
2021-01-19,0.2972437,0.3014447,0.40131158,0.10406786,5
2021-01-20,0.6465632,0.3434245,0.010012389,-0.6365508,2
2021-01-21,0.3713825,0.2280403,0.40057716,0.029194688,5
2021-01-22,0.28249767,0.299428,0.4180743,0.13557664,8
2021-01-24,0.64674217,0.07560088,0.27765694,-0.36908522,4
2021-01-25,0.22859617,0.047984667,0.7234192,0.49482304,8
2021-01-26,0.4263553,0.21699588,0.35664883,-0.06970649,7
2021-01-27,0.53276,0.4398384,0.027401589,-0.50535846,4
2021-01-28,0.28624672,0.03367148,0.6800818,0.3938351,8
2021-01-29,0.20150414,0.3906968,0.40779907,0.20629492,5
2021-02-01,0.27073985,0.66175836,0.067501806,-0.20323804,2
2021-02-02,0.26130027,0.25668597,0.4820138,0.22071354,4
2021-02-03,0.11410954,0.4068696,0.47902086,0.36491132,2
2021-02-04,0.27405232,0.6877017,0.038246028,-0.2358063,5
2021-02-05,0.4691731,0.29546514,0.23536174,-0.23381138,8
2021-02-07,0.43980026,0.5461489,0.014050802,-0.42574948,4
2021-02-08,0.45131043,0.27710557,0.271584,-0.17972645,17
2021-02-09,0.5936311,0.09247864,0.31389028,-0.2797408,6
2021-02-10,0.5059314,0.43283275,0.061235853,-0.44469553,9
2021-02-11,0.61667156,0.3569907,0.026337732,-0.5903338,9
2021-02-12,0.025971899,0.009083019,0.9649451,0.9389732,1
2021-02-13,0.49599728,0.49059963,0.013403115,-0.48259413,4
2021-02-14,0.9002063,0.04226274,0.05753094,-0.8426754,2
2021-02-15,0.08094424,0.36022058,0.5588352,0.47789097,2
2021-02-16,0.06299657,0.76991874,0.16708468,0.10408811,2
2021-02-17,0.35920954,0.18844001,0.45235047,0.09314096,10
2021-02-18,0.41965398,0.2543247,0.3260213,-0.093632676,11
2021-02-19,0.6813033,0.20892702,0.1097697,-0.57153356,13
2021-02-20,0.75552434,0.19976865,0.044706944,-0.71081746,5
2021-02-21,0.04897405,0.9334933,0.017532712,-0.03144134,1
2021-02-22,0.18560728,0.41291994,0.40147275,0.21586546,10
2021-02-23,0.19457325,0.22131987,0.5841069,0.38953367,8
2021-02-24,0.40378112,0.5604703,0.035748612,-0.3680325,5
2021-02-25,0.48016015,0.13980952,0.3800304,-0.10012974,10
2021-02-26,0.5242867,0.21113603,0.26457727,-0.25970942,18
2021-02-27,0.56236964,0.38020405,0.057426304,-0.5049433,3
2021-03-01,0.34121245,0.5919821,0.06680539,-0.27440706,8
2021-03-02,0.30534154,0.35865062,0.33600783,0.030666282,14
2021-03-03,0.22102204,0.49685115,0.28212675,0.061104715,5
2021-03-04,0.40330738,0.15735477,0.43933785,0.036030464,13
2021-03-05,0.56448823,0.21063945,0.22487232,-0.33961594,18
2021-03-06,0.043908346,0.44694015,0.5091515,0.4652432,2
2021-03-07,0.42200553,0.53010297,0.04789148,-0.37411407,2
2021-03-08,0.17026895,0.32205608,0.50767493,0.33740595,11
2021-03-09,0.41727448,0.4750906,0.107634924,-0.30963957,16
2021-03-10,0.43319187,0.39551526,0.17129287,-0.261899,20
2021-03-11,0.5210799,0.3905571,0.088363044,-0.43271685,15
2021-03-12,0.2794682,0.32919404,0.39133775,0.11186953,11
2021-03-13,0.67628825,0.17435344,0.14935829,-0.52693,10
